,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,1,-1,0,0,1,0,0,-1,0,1,-1,-1,0
1,1,1,1,-1,1,1,1,1,0,-1,0,1,1,1,0
2,-1,1,-1,1,1,1,1,1,1,-1,0,1,1,1,1
3,1,1,1,-1,0,1,1,-1,-1,1,1,1,-1,1,0
4,-1,-1,1,1,1,1,-1,1,0,1,1,-1,1,1,1
5,1,1,1,-1,-1,1,1,0,0,0,1,1,1,1,0
6,1,1,-1,-1,1,-1,1,-1,0,-1,0,1,0,1,0
7,1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,1,-1,0
8,1,1,1,-1,1,1,1,1,0,-1,0,1,-1,-1,1
9,1,1,1,-1,0,1,1,0,1,-1,0,-1,-1,1,1
10,-1,1,1,-1,-1,0,1,-1,-1,-1,0,1,0,1,1
11,-1,1,1,-1,0,1,1,0,0,-1,0,1,-1,1,1
12,1,1,1,-1,-1,-1,1,0,-1,-1,0,1,0,1,0
13,1,1,1,-1,-1,1,1,0,1,1,0,1,1,1,0
14,1,1,1,-1,1,-1,1,0,0,-1,0,1,0,1,0
15,1,1,1,-1,-1,-1,1,0,0,-1,0,1,1,1,0
16,1,1,1,-1,0,-1,1,0,1,-1,0,1,1,1,0
17,-1,1,1,-1,-1,-1,1,-1,0,1,0,1,1,1,1
18,-1,1,1,-1,0,-1,1,0,-1,-1,0,1,1,1,1
19,1,1,1,-1,1,-1,1,0,-1,-1,0,-1,1,-1,0
20,-1,1,1,1,1,1,1,1,-1,1,0,1,0,1,1
21,1,1,1,-1,1,1,1,0,1,-1,0,-1,-1,1,1
22,1,1,1,1,0,1,-1,1,-1,-1,0,-1,1,1,1
23,-1,-1,1,-1,1,1,-1,0,-1,0,0,-1,1,-1,1
24,-1,1,1,-1,0,-1,1,-1,0,-1,0,1,-1,1,0
25,1,1,1,-1,1,1,1,1,0,-1,1,1,-1,1,1
26,-1,1,1,-1,-1,-1,1,-1,-1,1,0,1,1,-1,0
27,1,1,-1,-1,0,-1,1,0,-1,0,0,1,-1,1,0
28,-1,1,1,-1,1,1,1,0,-1,-1,0,1,1,1,0
29,1,1,1,1,1,1,1,0,0,1,0,1,-1,1,0
